10000 362
20000 637
30000 904
40000 1460
50000 1478
60000 1774
70000 2980
80000 6702
90000 5738
100000 5601
110000 4411
120000 12280
130000 10042
140000 6296
150000 7494
160000 5610
170000 5854
180000 5547
190000 5880
200000 6580
210000 7676
220000 8132
230000 7617
240000 7418
250000 7036
260000 7367
270000 8072
280000 8113
290000 8600
300000 9250
310000 10595
320000 10941
330000 19920
340000 13303
350000 18030
360000 14369
370000 15901
380000 15723
390000 14371
400000 23006
410000 14993
420000 17518
430000 23291
440000 37692
450000 21759
460000 22163
470000 22490
480000 29316
490000 25533
500000 18970
510000 19830
520000 22487
530000 53848
540000 29562
550000 25878
560000 65228
570000 36769
580000 32397
590000 39243
600000 64019
610000 49459
620000 29093
630000 21158
640000 20830
650000 22397
660000 20835
670000 25235
680000 23069
690000 23003
700000 22403
710000 22781
720000 21234
730000 23669
740000 23111
750000 21657
760000 34474
770000 30173
780000 27620
790000 26359
800000 25384
810000 28679
820000 26892
830000 29363
840000 27335
850000 32355
860000 29482
870000 29115
880000 32063
890000 28550
900000 27547
910000 30924
920000 26996
930000 31407
940000 29028
950000 31272
960000 30300
970000 50443
980000 38374
990000 36773
1000000 36573
