10000 559
20000 1338
30000 1543
40000 2288
50000 4234
60000 6012
70000 35545
80000 6576
90000 70523
100000 7034
110000 7244
120000 9424
130000 14110
140000 19792
150000 11650
160000 81921
170000 38052
180000 122987
190000 20299
200000 170788
210000 19756
220000 62056
230000 38333
240000 41195
250000 92800
260000 45340
270000 39653
280000 33233
290000 53114
300000 54243
310000 81424
320000 25851
330000 21052
340000 30127
350000 23951
360000 26668
370000 29116
380000 54379
390000 29627
400000 26886
410000 37494
420000 25908
430000 24842
440000 28113
450000 24921
460000 24494
470000 27697
480000 27811
490000 29302
500000 40821
510000 32946
520000 35286
530000 31531
540000 29196
550000 33489
560000 33865
570000 55949
580000 38103
590000 38272
600000 44214
610000 38279
620000 39143
630000 35563
640000 35345
650000 41812
660000 45631
670000 41458
680000 54607
690000 48130
700000 51087
710000 58803
720000 53962
730000 51382
740000 57250
750000 49218
760000 54787
770000 50999
780000 54213
790000 50013
800000 56494
810000 52183
820000 71952
830000 63464
840000 56116
850000 59276
860000 58412
870000 60182
880000 58414
890000 62299
900000 61913
910000 70308
920000 69984
930000 67067
940000 61985
950000 64037
960000 58484
970000 68495
980000 68774
990000 60726
1000000 71372
